show_id,title,type,genres,year_added,rating
96650,The Adventures of Paddington,tv show,Family,2019,7.5
96650,The Adventures of Paddington,tv show,Kids,2019,7.5
91862,Sex Life,tv show,Documentary,2019,5.8
95360,Mintaapák,tv show,Comedy,2019,7.3
91748,A Life Worth Living,tv show,Drama,2019,8.0
91748,A Life Worth Living,tv show,Crime,2019,8.0
91748,A Life Worth Living,tv show,Soap,2019,8.0
91748,A Life Worth Living,tv show,Family,2019,8.0
85991,Fruits Basket,tv show,Animation,2019,7.846
85991,Fruits Basket,tv show,Drama,2019,7.846
85991,Fruits Basket,tv show,Comedy,2019,7.846
91121,How Do You Play?,tv show,Reality,2019,7.5
91121,How Do You Play?,tv show,Comedy,2019,7.5
93660,A Little Late with Lilly Singh,tv show,Comedy,2019,3.8
93660,A Little Late with Lilly Singh,tv show,Talk,2019,3.8
84910,The Masked Singer,tv show,Reality,2019,7.7
219410,Broken Faith,tv show,Crime,2019,9.0
219410,Broken Faith,tv show,Drama,2019,9.0
87491,DC Super Hero Girls,tv show,Animation,2019,7.9
87491,DC Super Hero Girls,tv show,Action & Adventure,2019,7.9
87491,DC Super Hero Girls,tv show,Family,2019,7.9
87491,DC Super Hero Girls,tv show,Sci-Fi & Fantasy,2019,7.9
87491,DC Super Hero Girls,tv show,Kids,2019,7.9
87491,DC Super Hero Girls,tv show,Comedy,2019,7.9
93364,Judge Jerry,tv show,Reality,2019,5.2
71912,The Witcher,tv show,Sci-Fi & Fantasy,2019,8.0
71912,The Witcher,tv show,Drama,2019,8.0
71912,The Witcher,tv show,Action & Adventure,2019,8.0
87758,"Argentina, tierra de amor y venganza",tv show,Soap,2019,3.2
95258,Suspended Cop,tv show,Action & Adventure,2019,8.4
95258,Suspended Cop,tv show,Mystery,2019,8.4
95258,Suspended Cop,tv show,Crime,2019,8.4
94759,The Class,tv show,Drama,2019,0.0
94759,The Class,tv show,Kids,2019,0.0
87917,For All Mankind,tv show,Drama,2019,7.7
87917,For All Mankind,tv show,Sci-Fi & Fantasy,2019,7.7
87917,For All Mankind,tv show,War & Politics,2019,7.7
95984,Bad Love,tv show,Drama,2019,6.0
95984,Bad Love,tv show,Family,2019,6.0
95984,Bad Love,tv show,Soap,2019,6.0
92077,Verão 90,tv show,Soap,2019,7.0
92077,Verão 90,tv show,Comedy,2019,7.0
85077,The Chosen,tv show,Drama,2019,8.6
85077,The Chosen,tv show,Family,2019,8.6
94686,Tyler Perry's Sistas,tv show,Comedy,2019,8.3
94686,Tyler Perry's Sistas,tv show,Drama,2019,8.3
88597,Ultraman Taiga,tv show,Action & Adventure,2019,7.2
88597,Ultraman Taiga,tv show,Sci-Fi & Fantasy,2019,7.2
87940,Hudson & Rex,tv show,Drama,2019,8.4
87940,Hudson & Rex,tv show,Crime,2019,8.4
75006,The Umbrella Academy,tv show,Action & Adventure,2019,8.533
75006,The Umbrella Academy,tv show,Sci-Fi & Fantasy,2019,8.533
75006,The Umbrella Academy,tv show,Drama,2019,8.533
97867,Family Feud Canada,tv show,Family,2019,5.6
97867,Family Feud Canada,tv show,Reality,2019,5.6
97867,Family Feud Canada,tv show,Comedy,2019,5.6
88910,Gigantosaurus,tv show,Kids,2019,6.9
88910,Gigantosaurus,tv show,Family,2019,6.9
88910,Gigantosaurus,tv show,Animation,2019,6.9
215675,猪猪侠之竞速小英雄,tv show,Animation,2019,10.0
215675,猪猪侠之竞速小英雄,tv show,Kids,2019,10.0
215675,猪猪侠之竞速小英雄,tv show,Action & Adventure,2019,10.0
215675,猪猪侠之竞速小英雄,tv show,Sci-Fi & Fantasy,2019,10.0
92993,Natsuzora,tv show,Drama,2019,7.0
92993,Natsuzora,tv show,Comedy,2019,7.0
90534,The Gentlemen's League,tv show,Reality,2019,4.3
97072,Charmsukh,tv show,Drama,2019,6.0
94694,Workman,tv show,Reality,2019,7.0
94694,Workman,tv show,Talk,2019,7.0
90282,The Morning Show,tv show,Drama,2019,7.8
79086,Godfather of Harlem,tv show,Drama,2019,8.1
79086,Godfather of Harlem,tv show,Crime,2019,8.1
17174,Ghosts,tv show,Comedy,2019,8.0
17174,Ghosts,tv show,Sci-Fi & Fantasy,2019,8.0
86831,"Love, Death & Robots",tv show,Animation,2019,8.3
86831,"Love, Death & Robots",tv show,Sci-Fi & Fantasy,2019,8.3
90521,Love Island,tv show,Reality,2019,7.1
93260,The Casagrandes,tv show,Animation,2019,7.5
93260,The Casagrandes,tv show,Kids,2019,7.5
93260,The Casagrandes,tv show,Comedy,2019,7.5
93260,The Casagrandes,tv show,Family,2019,7.5
121821,The Conversation,tv show,Talk,2019,5.0
99795,Gathbandhan,tv show,Family,2019,8.0
99795,Gathbandhan,tv show,Drama,2019,8.0
91433,T.O.T.S.,tv show,Kids,2019,6.6
91433,T.O.T.S.,tv show,Family,2019,6.6
91433,T.O.T.S.,tv show,Animation,2019,6.6
83631,What We Do in the Shadows,tv show,Comedy,2019,8.0
83631,What We Do in the Shadows,tv show,Sci-Fi & Fantasy,2019,8.0
90571,Bepanah Pyaar,tv show,Drama,2019,8.0
90571,Bepanah Pyaar,tv show,Family,2019,8.0
90571,Bepanah Pyaar,tv show,Mystery,2019,8.0
95411,Gemelas,tv show,Soap,2019,2.0
95411,Gemelas,tv show,Comedy,2019,2.0
80752,See,tv show,Drama,2019,8.1
80752,See,tv show,Sci-Fi & Fantasy,2019,8.1
80752,See,tv show,Action & Adventure,2019,8.1
97881,100 días para enamorarse,tv show,Soap,2019,2.0
97881,100 días para enamorarse,tv show,Comedy,2019,2.0
94232,"Que História é Essa, Porchat?",tv show,Talk,2019,7.1
85349,Amphibia,tv show,Animation,2019,8.5
85349,Amphibia,tv show,Comedy,2019,8.5
85349,Amphibia,tv show,Kids,2019,8.5
85349,Amphibia,tv show,Action & Adventure,2019,8.5
85349,Amphibia,tv show,Sci-Fi & Fantasy,2019,8.5
85349,Amphibia,tv show,Family,2019,8.5
219500,Beautiful Justice,tv show,Crime,2019,0.0
219500,Beautiful Justice,tv show,Drama,2019,0.0
219500,Beautiful Justice,tv show,Action & Adventure,2019,0.0
219669,Dragon Lady,tv show,Drama,2019,0.0
219669,Dragon Lady,tv show,Sci-Fi & Fantasy,2019,0.0
237349,Ek Mahanayak - Dr B R Ambedkar,tv show,Family,2019,10.0
